tourist_id,timestamp,latitude,longitude,location_name,hour,day_of_week,is_active,speed_kmh,distance_from_planned,time_since_last_checkin,battery_level,signal_strength,weather_condition,has_incident,incident_type,incident_severity,prediction_target,future_incident_risk
tourist_0,2025-08-11 00:00:37.314606,23.826071846983496,91.29178672723292,Agartala,0,0,False,0.0,0.8181859142395166,111,97,3,storm,False,,,0,0.030000000000000002
tourist_0,2025-08-11 00:30:37.314606,23.826071846983496,91.29178672723292,Agartala,0,0,False,0.0,0.8181859142395166,113,95,4,clear,False,,,0,0.030000000000000002
tourist_0,2025-08-11 01:00:37.314606,23.826071846983496,91.29178672723292,Agartala,1,0,False,0.0,0.8181859142395166,33,97,4,clear,False,,,0,0.075
tourist_0,2025-08-11 01:30:37.314606,23.826071846983496,91.29178672723292,Agartala,1,0,False,0.0,0.8181859142395166,102,94,1,light_rain,False,,,0,0.015000000000000001
tourist_0,2025-08-11 02:00:37.314606,23.826071846983496,91.29178672723292,Agartala,2,0,False,0.0,0.8181859142395166,165,96,1,light_rain,False,,,0,0.030000000000000002
tourist_0,2025-08-11 02:30:37.314606,23.826071846983496,91.29178672723292,Agartala,2,0,False,0.0,0.8181859142395166,277,92,5,fog,False,,,0,0.030000000000000002
tourist_0,2025-08-11 03:00:37.314606,23.826071846983496,91.29178672723292,Agartala,3,0,False,0.0,0.8181859142395166,191,86,4,fog,False,,,0,0.075
tourist_0,2025-08-11 03:30:37.314606,23.826071846983496,91.29178672723292,Agartala,3,0,False,0.0,0.8181859142395166,305,96,5,heavy_rain,False,,,0,0.075
tourist_0,2025-08-11 04:00:37.314606,23.826071846983496,91.29178672723292,Agartala,4,0,False,0.0,0.8181859142395166,221,91,1,fog,False,,,0,0.075
tourist_0,2025-08-11 04:30:37.314606,23.826071846983496,91.29178672723292,Agartala,4,0,False,0.0,0.8181859142395166,72,90,3,cloudy,False,,,0,0.015000000000000001
tourist_0,2025-08-11 05:00:37.314606,23.826071846983496,91.29178672723292,Agartala,5,0,False,0.0,0.8181859142395166,230,81,4,heavy_rain,False,,,0,0.030000000000000002
tourist_0,2025-08-11 05:30:37.314606,23.826071846983496,91.29178672723292,Agartala,5,0,False,0.0,0.8181859142395166,38,83,5,clear,False,,,0,0.075
tourist_0,2025-08-11 06:00:37.314606,23.826071846983496,91.29178672723292,Agartala,6,0,False,0.0,0.8181859142395166,210,80,4,storm,False,,,0,0.01
